Groupe	Nom vernac	Taxon	Altitude	Coordx	Coordy	Année	famille	Site
Moose		Aneura pinguis (L.) Dumort.	600	2534100	1162600	1992		CB
Moose		Aulacomnium palustre (Hedw.) Schwägr.	600	2534100	1162600	1992		CB
Moose		Calliergonella cuspidata (Hedw.) Loeske	600	2534100	1162600	1992		CB
Moose		Climacium dendroides (Hedw.) F.Weber & D.Mohr	600	2534100	1162600	1992		CB
Moose		Dicranum bonjeanii De Not.	600	2534100	1162600	1992		CB
Moose		Pleurozium schreberi (Brid.) Mitt.	600	2534100	1162600	1992		CB
Moose		Polytrichum longisetum Brid.	600	2534100	1162600	1992		CB
Moose		Polytrichum strictum Brid.	600	2534100	1162600	1992		CB
Moose		Pseudoscleropodium purum (Hedw.) M.Fleisch.	600	2534100	1162600	1992		CB
Moose		Sphagnum capillifolium (Ehrh.) Hedw.	600	2534100	1162600	1992		CB
Moose		Sphagnum contortum Schultz	600	2534100	1162600	1992		CB
Moose		Sphagnum subnitens Russow & Warnst. subsp. subnitens	600	2534100	1162600	1992		CB
Moose		Thuidium recognitum (Hedw.) Lindb.	600	2534100	1162600	1992		CB
Moose		Thuidium tamariscinum (Hedw.) Schimp.	600	2534100	1162600	1992		CB
Moose		Sphagnum subnitens Russow & Warnst. subsp. subnitens	600	2534170	1162660	1999		CB
Moose		Sphagnum contortum Schultz	600	2534170	1162660	1999		CB
Moose		Sphagnum contortum Schultz		2534220	1162690	2003		CB
Moose		Sphagnum subnitens Russow & Warnst. subsp. subnitens		2534190	1162690	2003		CB
Moose		Sphagnum magellanicum aggr.	1015	2575600	1234700	1978		LE
Moose		Sphagnum palustre L. subsp. palustre	1015	2575600	1234700	1978		LE
Moose		Sphagnum warnstorfii Russow	1015	2575600	1234700	1978		LE
Moose		Sphagnum capillifolium (Ehrh.) Hedw.	1015	2575600	1234700	1978		LE
Moose		Sphagnum recurvum aggr.	1015	2575600	1234700	1978		LE
Moose		Polytrichum formosum aggr.	1015	2575600	1234700	1989		LE
Moose		Polytrichum juniperinum Hedw.	1015	2575600	1234700	1989		LE
Moose		Dicranum montanum Hedw.	1015	2575600	1234700	1989		LE
Moose		Tetraphis pellucida Hedw.	1015	2575600	1234700	1989		LE
Moose		Herzogiella seligeri (Brid.) Z.Iwats.	1015	2575600	1234700	1989		LE
Moose		Rhytidiadelphus triquetrus (Hedw.) Warnst.	1015	2575600	1234700	1989		LE
Moose		Rhytidiadelphus loreus (Hedw.) Warnst.	1015	2575600	1234700	1989		LE
Moose		Plagiomnium ellipticum (Brid.) T.J.Kop.	1015	2575600	1234700	1989		LE
Moose		Eurhynchium angustirete (Broth.) T.J.Kop.	1015	2575600	1234700	1989		LE
Moose		Calliergonella cuspidata (Hedw.) Loeske	1015	2575600	1234700	1989		LE
Moose		Atrichum undulatum (Hedw.) P.Beauv.	1015	2575600	1234700	1989		LE
Moose		Rhodobryum roseum (Hedw.) Limpr.	1015	2575600	1234700	1989		LE
Moose		Thuidium tamariscinum (Hedw.) Schimp.	1015	2575600	1234700	1989		LE
Moose		Ulota crispa s.l.	1015	2575600	1234700	1989		LE
Moose		Sphagnum magellanicum aggr.	1010	2575570	1234670	1986		LE
