FullID,Site,Sector,Replicate,Moss_g,SampleDate
LM_2N_01_M,LM,2,1,0.848100000000001,21.08.2018
LM_1N_02_M,LM,1,2,1.0208,21.08.2018
LM_4N_01_M,LM,4,1,1.0568,21.08.2018
LM_1N_01_M,LM,1,1,1.0783,21.08.2018
LM_3N_01_M,LM,3,1,0.906900000000001,21.08.2018
LM_2N_02_M,LM,2,2,0.831300000000001,21.08.2018
LM_3N_02_M,LM,3,2,0.999900000000001,21.08.2018
LM_4N_02_M,LM,4,2,1.0146,21.08.2018
CB_2N_01_M,CB,2,1,0.564600000000001,20.08.2018
CB_3N_01_M,CB,3,1,0.571500000000001,20.08.2018
CB_2N_02_M,CB,2,2,0.730700000000001,20.08.2018
CB_4N_02_M,CB,4,2,0.658900000000001,20.08.2018
CB_3N_02_M,CB,3,2,0.822200000000001,20.08.2018
CB_4N_01_M,CB,4,1,0.561600000000001,20.08.2018
CB_1N_02_M,CB,1,2,0.812100000000001,20.08.2018
CB_1N_01_M,CB,1,1,0.873800000000001,20.08.2018
LE_4N_01_M,LE,4,1,1.078,24.08.2018
LE_1N_01_M,LE,1,1,0.5732,24.08.2018
LE_3N_02_M,LE,3,2,0.901500000000001,24.08.2018
LE_2N_01_M,LE,2,1,0.956400000000001,24.08.2018
LE_4N_02_M,LE,4,2,1.2355,24.08.2018
LE_1N_02_M,LE,1,2,0.719000000000001,24.08.2018
LE_2N_02_M,LE,2,2,0.7669,24.08.2018
LE_3N_01_M,LE,3,1,0.668700000000001,24.08.2018
LV_3N_01_M,LV,3,1,0.875600000000001,23.08.2018
LV_2N_02_M,LV,2,2,0.816600000000001,23.08.2018
LV_1N_01_M,LV,1,1,1.214,23.08.2018
LV_1N_02_M,LV,1,2,0.9855,23.08.2018
LV_4N_02_M,LV,4,2,1.2381,23.08.2018
LV_3N_02_M,LV,3,2,0.924300000000001,23.08.2018
LV_4N_01_M,LV,4,1,0.893800000000001,23.08.2018
LV_2N_01_M,LV,2,1,0.949600000000001,23.08.2018
LT_1N_02_M,LT,1,2,0.7677,22.08.2018
LT_2N_02_M,LT,2,2,0.693900000000001,22.08.2018
LT_4N_01_M,LT,4,1,0.968700000000001,22.08.2018
LT_1N_01_M,LT,1,1,0.854300000000001,22.08.2018
LT_3N_01_M,LT,3,1,0.855100000000001,22.08.2018
LT_3N_02_M,LT,3,2,0.954600000000001,22.08.2018
LT_2N_01_M,LT,2,1,0.782400000000001,22.08.2018
LT_4N_02_M,LT,4,2,1.0696,22.08.2018
