Site	FullID	SampleDate	IDSample	Succession	SiteName	Canton	Municipiality	Altitude	Habitat	X_WGS84	Y_WGS84	SiteSectorCentroidsX	SiteSectorCentroidsY
CB	CB_1N_01_M	20.08.2018	C1	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415
CB	CB_1N_02_M	20.08.2018	P0	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534107.154282553	162748.765198415
CB	CB_2N_01_M	20.08.2018	O0	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502
CB	CB_2N_02_M	20.08.2018	J1	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534111.244728941	162743.099269502
CB	CB_3N_01_M	20.08.2018	U0	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238
CB	CB_3N_02_M	20.08.2018	B0	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534110.637973629	162732.644645238
CB	CB_4N_01_M	20.08.2018	W0	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577
CB	CB_4N_02_M	20.08.2018	M1	Moss	CB - Champ-Buet	VD	Bournens	605	Fen	6.57847621058883	46.6126154594919	534106.103402558	162722.886976577
LE	LE_1N_01_M	24.08.2018	K1	Moss	LE - Les Embreux	JU	Les Gevenez	1022	Raised peat bog	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775
LE	LE_1N_02_M	24.08.2018	E1	Moss	LE - Les Embreux	JU	Les Gevenez	1022	Raised peat bog	7.11572133320043	47.2625172509751	575555.176498621	234653.021217775
LE	LE_2N_01_M	24.08.2018	I1	Moss	LE - Les Embreux	JU	Les Gevenez	1022	Raised peat bog	7.11572133320043	47.2625172509751	575557.430114069	234660.130794412
