Groupe	Nom vernac	Taxon	Coordx	Coordy	Année	famille	Site	Altitude
Gefässpflanzen	Davalls Segge	Carex davalliana Sm.	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Igelfrüchtige Segge	Carex echinata Murray	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Langährige Segge	Carex elongata L.	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Saum-Segge	Carex hostiana DC.	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Faden-Segge	Carex lasiocarpa Ehrh.	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Braune Segge	Carex nigra (L.) Reichard	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Hirsen-Segge	Carex panicea L.	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Oeders Gelbe Segge	Carex viridula Michx.	2534200	1162700	2010	Cyperaceae	CB	606
Gefässpflanzen	Gewöhnliche Sumpfbinse	Eleocharis palustris (L.) Roem. & Schult.	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Sumpf-Weidenröschen	Epilobium palustre L.	2534222	1162705	2017	Onagraceae	CB	603
Gefässpflanzen	Schmalblättriges Wollgras	Eriophorum angustifolium Honck.	2534197	1162692	2010	Cyperaceae	CB	606
Gefässpflanzen	Breitblättriges Wollgras	Eriophorum latifolium Hoppe	2534175	1162752	1985	Cyperaceae	CB	603
Gefässpflanzen	Zwiebelorchis	Liparis loeselii (L.) Rich.	2534200	1162700	1960	Orchidaceae	CB	604
Gefässpflanzen	Zwiebelorchis	Liparis loeselii (L.) Rich.	2534200	1162700	1960	Orchidaceae	CB	610
Gefässpflanzen	Zwiebelorchis	Liparis loeselii (L.) Rich.	2534200	1162700	1961	Orchidaceae	CB	610
Gefässpflanzen	Zwiebelorchis	Liparis loeselii (L.) Rich.	2534200	1162700	1961	Orchidaceae	CB	600
Gefässpflanzen	Europäischer Wolfsfuss	Lycopus europaeus L.	2534210	1162691	2010	Lamiaceae	CB	606
Gefässpflanzen	Blaues Pfeifengras	Molinia caerulea (L.) Moench	2534175	1162752	1985	Poaceae	CB	603
Gefässpflanzen	Blaues Pfeifengras	Molinia caerulea (L.) Moench	2534197	1162692	2010	Poaceae	CB	606
Gefässpflanzen	Blaues Pfeifengras	Molinia caerulea (L.) Moench	2534109	1162733	2017	Poaceae	CB	604
Gefässpflanzen	Sumpf-Haarstrang	Peucedanum palustre (L.) Moench	2534175	1162752	1985	Apiaceae	CB	603
Gefässpflanzen	Sumpf-Haarstrang	Peucedanum palustre (L.) Moench	2534139	1162747	2010	Apiaceae	CB	606
Gefässpflanzen	Sumpf-Haarstrang	Peucedanum palustre (L.) Moench	2534231	1162707	2017	Apiaceae	CB	604
Gefässpflanzen	Sumpf-Haarstrang	Peucedanum palustre (L.) Moench	2534106	1162726	2017	Apiaceae	CB	603
